Combination,Feature,Percentage,Algorithm,Min RMSE,Min NRMSE,Min MAE,FeatureSet Removal Scenario
combination_3_ABCDF,D,15,BayesianRidge,0.42315081646205466,0.08044692328175942,0.14657407648927462,ABCD
combination_3_ABCDF,D,15,RandomForest,0.440089186706839,0.08366714576175645,0.14517166666666675,ABCD
combination_3_ABCDF,D,20,KNN,0.49241678627336405,0.09361535860710343,0.19620833333333337,ABCD
combination_3_ABCDF,D,20,BayesianRidge,0.5314447962446976,0.10103513236591208,0.21100047327022642,ABCD
combination_3_ABCDF,D,20,RandomForest,0.5089612649792403,0.09676069676411411,0.18978166666666674,ABD
combination_3_ABCDF,F,10,KNN,0.24623965570414214,0.030475204913878985,0.07335833333333334,BF
combination_3_ABCDF,F,10,BayesianRidge,0.24824824324895603,0.03072379248130644,0.06736076321848986,BF
combination_3_ABCDF,F,10,RandomForest,0.30486617822942835,0.03773096265215699,0.09739333333333317,CF
combination_3_ABCDF,F,15,KNN,0.42595448171619055,0.0527171388262612,0.13248333333333334,BF
combination_3_ABCDF,F,15,BayesianRidge,0.4290434393413645,0.05309943556205007,0.12763836328234762,BF
combination_3_ABCDF,F,15,RandomForest,0.43171688410170395,0.0534303074383297,0.13561333333333317,BF
combination_3_ABCDF,F,20,KNN,0.5656591947162396,0.07000732607874253,0.20319999999999996,CF
combination_3_ABCDF,F,20,BayesianRidge,0.5834858380114921,0.07221359381330349,0.20837238194733057,DF
combination_3_ABCDF,F,20,RandomForest,0.6379046067183175,0.07894858994038582,0.21604833333333304,DF
