Combination,FeatureComb,Percentage,Algorithm,Mean RMSE,Mean NRMSE
combination_2_ABCDE,ABC,10,KNN,0.46989007199057553,0.06835079503312257
combination_2_ABCDE,ABC,10,MICE,0.466772869296829,0.067436654526625
combination_2_ABCDE,ABC,10,RandomForest,0.4531586505143263,0.06539735869047386
combination_2_ABCDE,ABD,10,KNN,0.3990091489257955,0.05826351037152352
combination_2_ABCDE,ABD,10,MICE,0.3940013290535343,0.056949730094693375
combination_2_ABCDE,ABD,10,RandomForest,0.3638081546536291,0.05249563075407326
combination_2_ABCDE,ABE,10,KNN,0.37564086535741,0.054504047322092436
combination_2_ABCDE,ABE,10,MICE,0.3782269865082519,0.05439615907487041
combination_2_ABCDE,ABE,10,RandomForest,0.3633905619505778,0.05230440192783978
combination_2_ABCDE,ACD,10,KNN,0.38810751659530945,0.06399026635517398
combination_2_ABCDE,ACD,10,MICE,0.3882732714608757,0.06396530705437764
combination_2_ABCDE,ACD,10,RandomForest,0.3899437531922344,0.06423130356526349
combination_2_ABCDE,ACE,10,KNN,0.3914566950590828,0.064301478653623
combination_2_ABCDE,ACE,10,MICE,0.3791419585144086,0.06227930136221752
combination_2_ABCDE,ACE,10,RandomForest,0.371807440373083,0.06116791033966587
combination_2_ABCDE,ADE,10,KNN,0.32828462208171144,0.05623908457346048
combination_2_ABCDE,ADE,10,MICE,0.3149611709680273,0.05399093889935887
combination_2_ABCDE,ADE,10,RandomForest,0.3092267356886936,0.0529631319123292
combination_2_ABCDE,BCD,10,KNN,0.4637756023594324,0.06812583497439119
combination_2_ABCDE,BCD,10,MICE,0.4725211750655139,0.06931184908479258
combination_2_ABCDE,BCD,10,RandomForest,0.48228092264083416,0.07047576716183054
combination_2_ABCDE,BCE,10,KNN,0.46968489461923657,0.0687611689386742
combination_2_ABCDE,BCE,10,MICE,0.4605682925585341,0.06722323209026734
combination_2_ABCDE,BCE,10,RandomForest,0.4545200155625689,0.06637592280200627
combination_2_ABCDE,BDE,10,KNN,0.4362595702074078,0.06529575182804459
combination_2_ABCDE,BDE,10,MICE,0.4055002465986354,0.06024317720699878
combination_2_ABCDE,BDE,10,RandomForest,0.4107483796724189,0.06104174008101921
combination_2_ABCDE,CDE,10,KNN,0.4296113887795293,0.07092089422952698
combination_2_ABCDE,CDE,10,MICE,0.4045527377703567,0.06671795519930715
combination_2_ABCDE,CDE,10,RandomForest,0.4007076557152514,0.06610200806953942
combination_2_ABCDE,ABCD,10,KNN,0.4422289221525328,0.0666880409045949
combination_2_ABCDE,ABCD,10,MICE,0.43269265809865215,0.06458390093309324
combination_2_ABCDE,ABCD,10,RandomForest,0.4355063443784676,0.06545841206067746
combination_2_ABCDE,ABCE,10,KNN,0.4156619479288147,0.061618787307054834
combination_2_ABCDE,ABCE,10,MICE,0.4150022353678824,0.06149434707094483
combination_2_ABCDE,ABCE,10,RandomForest,0.39686772085596744,0.05879611549912409
combination_2_ABCDE,ABDE,10,KNN,0.35726059627680906,0.05348526130027672
combination_2_ABCDE,ABDE,10,MICE,0.36259818140529093,0.0539413565500393
combination_2_ABCDE,ABDE,10,RandomForest,0.3241839242471816,0.048202488364773186
combination_2_ABCDE,ACDE,10,KNN,0.35508713375661294,0.05886397809569227
combination_2_ABCDE,ACDE,10,MICE,0.35383455386139334,0.05856841341541014
combination_2_ABCDE,ACDE,10,RandomForest,0.34817394558828363,0.05758033315566964
combination_2_ABCDE,BCDE,10,KNN,0.41363594282809457,0.06254274998744147
combination_2_ABCDE,BCDE,10,MICE,0.4165245860213201,0.0625133646956088
combination_2_ABCDE,BCDE,10,RandomForest,0.4225019918535106,0.06342690602943712
combination_2_ABCDE,ABCDE,10,KNN,0.41930767944423086,0.06432006221269891
combination_2_ABCDE,ABCDE,10,MICE,0.40139767269394894,0.06096654561961752
combination_2_ABCDE,ABCDE,10,RandomForest,0.3948448798630505,0.06031567633225077
combination_2_ABCDE,A,15,KNN,0.3123302583538222,0.05422400318642745
combination_2_ABCDE,A,15,MICE,0.3333183209077769,0.05786776404648904
combination_2_ABCDE,A,15,RandomForest,0.33113925271933553,0.05748945359710685
combination_2_ABCDE,B,15,KNN,0.6471610713639789,0.07797121341734684
combination_2_ABCDE,B,15,MICE,0.6242610123153762,0.07521217015847906
combination_2_ABCDE,B,15,RandomForest,0.6199166113107308,0.07468874835069046
combination_2_ABCDE,C,15,KNN,0.6738991489539347,0.1062932411599266
combination_2_ABCDE,C,15,MICE,0.6412448745311303,0.10114272468945276
combination_2_ABCDE,C,15,RandomForest,0.6623158538052857,0.10446622299767913
combination_2_ABCDE,D,15,KNN,0.440868767291182,0.07549122727588731
combination_2_ABCDE,D,15,MICE,0.3763807047608056,0.06444875081520643
combination_2_ABCDE,D,15,RandomForest,0.40023725717514713,0.06853377691355257
combination_2_ABCDE,E,15,KNN,0.3450543971041659,0.05848379611935015
combination_2_ABCDE,E,15,MICE,0.3333755052582716,0.056504322925130766
combination_2_ABCDE,E,15,RandomForest,0.3153669450778783,0.05345202458947092
combination_2_ABCDE,AB,15,KNN,0.5864972090482727,0.08093995891010708
combination_2_ABCDE,AB,15,MICE,0.5543127297785913,0.07625602730643624
combination_2_ABCDE,AB,15,RandomForest,0.5244746915211637,0.0720958552351916
combination_2_ABCDE,AC,15,KNN,0.5221240492922281,0.08482433996762803
combination_2_ABCDE,AC,15,MICE,0.522113668094623,0.08501669209992532
combination_2_ABCDE,AC,15,RandomForest,0.5300516737860145,0.08641147187372453
combination_2_ABCDE,AD,15,KNN,0.38447078209494195,0.06617038488945562
combination_2_ABCDE,AD,15,MICE,0.3836564314743236,0.0660887113541077
combination_2_ABCDE,AD,15,RandomForest,0.36515000216785676,0.0628838894061797
combination_2_ABCDE,AE,15,KNN,0.3500403040281853,0.059977085131829075
combination_2_ABCDE,AE,15,MICE,0.3478376551656793,0.05964285233476881
combination_2_ABCDE,AE,15,RandomForest,0.3435611645423822,0.05889808718614997
combination_2_ABCDE,BC,15,KNN,0.6878426724167662,0.09662803189056045
combination_2_ABCDE,BC,15,MICE,0.6655136707654885,0.09334044159154609
combination_2_ABCDE,BC,15,RandomForest,0.65778667780862,0.09201598696332221
combination_2_ABCDE,BD,15,KNN,0.5796181095870722,0.08273665255180152
combination_2_ABCDE,BD,15,MICE,0.5334884151325171,0.07544212092937097
combination_2_ABCDE,BD,15,RandomForest,0.5236514843953868,0.07427708264560569
combination_2_ABCDE,BE,15,KNN,0.4986921379441256,0.06877885314505634
combination_2_ABCDE,BE,15,MICE,0.49023337316524074,0.06787340780084379
combination_2_ABCDE,BE,15,RandomForest,0.47873381348021926,0.06634333762566244
combination_2_ABCDE,CD,15,KNN,0.5555022655631349,0.09081458773573814
combination_2_ABCDE,CD,15,MICE,0.5404558304842693,0.08822612288076748
combination_2_ABCDE,CD,15,RandomForest,0.5521598605972153,0.09013454137132794
combination_2_ABCDE,CE,15,KNN,0.49942183579410804,0.08090703122194656
combination_2_ABCDE,CE,15,MICE,0.5048371520946511,0.08176664957855817
combination_2_ABCDE,CE,15,RandomForest,0.5116375062357594,0.08282667804156674
combination_2_ABCDE,DE,15,KNN,0.4332366960310218,0.07382643500847103
combination_2_ABCDE,DE,15,MICE,0.3722093463041868,0.06341612413065414
